Diagnosis,ICD-10 Code,ICD Description,Similarity Score,Justification,Alternative Suggestions,Needs Review
Other urogenital candidiasis,A01.00,,0.07503624260425568,The diagnosis 'Other urogenital candidiasis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Other ventral hernia without mention of obstruction or gangrene,A01.00,,0.043318722397089005,The diagnosis 'Other ventral hernia without mention of obstruction or gangrene' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Other viral infections of unspecified site,A01.00,,0.08286450803279877,The diagnosis 'Other viral infections of unspecified site' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Other, mixed, or unspecified drug abuse, unspecified",Z98.41,,0.10095138102769852,"The diagnosis 'Other, mixed, or unspecified drug abuse, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Overflow incontinence,A01.00,,0.09932643920183182,The diagnosis 'Overflow incontinence' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Pain in joint, shoulder region",A01.00,,-0.00185665232129395,"The diagnosis 'Pain in joint, shoulder region' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Pain in joint, site unspecified",A01.00,,0.017526905983686447,"The diagnosis 'Pain in joint, site unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Pain in left shoulder,A01.00,,0.06470495462417603,The diagnosis 'Pain in left shoulder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pain in limb,A01.00,,0.19138669967651367,The diagnosis 'Pain in limb' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pain in right shoulder,A01.00,,0.07183483242988586,The diagnosis 'Pain in right shoulder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pain in unspecified shoulder,A01.00,,0.044378217309713364,The diagnosis 'Pain in unspecified shoulder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Painful respiration,Z98.41,,0.10006270557641983,The diagnosis 'Painful respiration' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Palmar fascial fibromatosis [Dupuytren],A01.00,,0.013740820810198784,The diagnosis 'Palmar fascial fibromatosis [Dupuytren]' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Palpitations,A01.00,,0.1472243070602417,The diagnosis 'Palpitations' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Panic disorder without agoraphobia,A01.00,,0.0530850850045681,The diagnosis 'Panic disorder without agoraphobia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Paralytic ileus,A01.00,,0.09564927965402603,The diagnosis 'Paralytic ileus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Paranoid schizophrenia,A01.00,,0.18862424790859222,The diagnosis 'Paranoid schizophrenia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Paranoid type schizophrenia, chronic",A01.00,,0.08466743677854538,"The diagnosis 'Paranoid type schizophrenia, chronic' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Paranoid type schizophrenia, unspecified",A01.00,,0.1264922022819519,"The diagnosis 'Paranoid type schizophrenia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Paroxysmal atrial fibrillation,A01.00,,0.03286608308553696,The diagnosis 'Paroxysmal atrial fibrillation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Paroxysmal ventricular tachycardia,A01.00,,0.009642450138926506,The diagnosis 'Paroxysmal ventricular tachycardia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Partial intestinal obstruction, unspecified as to cause",A01.00,,0.08463514596223831,"The diagnosis 'Partial intestinal obstruction, unspecified as to cause' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Patient room in hospital as the place of occurrence of the external cause,A01.00,,0.08169205486774445,The diagnosis 'Patient room in hospital as the place of occurrence of the external cause' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Patient's intentional underdosing of medication regimen for other reason,A00.9,,0.06633320450782776,The diagnosis 'Patient's intentional underdosing of medication regimen for other reason' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Patient's other noncompliance with medication regimen,A01.00,,0.0019799540750682354,The diagnosis 'Patient's other noncompliance with medication regimen' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Percutaneous transluminal coronary angioplasty status,A01.00,,0.08318548649549484,The diagnosis 'Percutaneous transluminal coronary angioplasty status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Periapical abscess without sinus,A01.00,,0.08656124025583267,The diagnosis 'Periapical abscess without sinus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pericardial effusion (noninflammatory),A01.00,,0.04149516671895981,The diagnosis 'Pericardial effusion (noninflammatory)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Peripheral vascular angioplasty status with implants and grafts,A01.00,,0.05995752662420273,The diagnosis 'Peripheral vascular angioplasty status with implants and grafts' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Peripheral vascular disease, unspecified",A01.00,,0.044414058327674866,"The diagnosis 'Peripheral vascular disease, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Peritoneal abscess,A01.00,,0.08361610025167465,The diagnosis 'Peritoneal abscess' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Peritoneal adhesions (postoperative) (postinfection),A01.00,,0.07177681475877762,The diagnosis 'Peritoneal adhesions (postoperative) (postinfection)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Peritoneal adhesions (postprocedural) (postinfection),A01.00,,0.057635992765426636,The diagnosis 'Peritoneal adhesions (postprocedural) (postinfection)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Peritonitis, unspecified",A01.00,,0.09301865100860596,"The diagnosis 'Peritonitis, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Pernicious anemia,A01.00,,0.10406731069087982,The diagnosis 'Pernicious anemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Persistent atrial fibrillation,A01.00,,0.014543058350682259,The diagnosis 'Persistent atrial fibrillation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Persistent postoperative fistula,A01.00,,0.04704955965280533,The diagnosis 'Persistent postoperative fistula' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of (healed) traumatic fracture,A01.00,,0.04443893954157829,The diagnosis 'Personal history of (healed) traumatic fracture' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of Hodgkin lymphoma,A01.00,,0.05473630875349045,The diagnosis 'Personal history of Hodgkin lymphoma' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of Methicillin resistant Staphylococcus aureus,A01.00,,-0.017959730699658394,The diagnosis 'Personal history of Methicillin resistant Staphylococcus aureus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of alcoholism,A01.00,,0.10728130489587784,The diagnosis 'Personal history of alcoholism' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of allergy to other antibiotic agent,A01.00,,-0.012301216833293438,The diagnosis 'Personal history of allergy to other antibiotic agent' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of allergy to penicillin,A01.00,,0.02141672559082508,The diagnosis 'Personal history of allergy to penicillin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of antineoplastic chemotherapy,Z98.41,,0.00701884413138032,The diagnosis 'Personal history of antineoplastic chemotherapy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of colonic polyps,Z98.41,,0.07617928832769394,The diagnosis 'Personal history of colonic polyps' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of hodgkin's disease,A01.00,,0.034873124212026596,The diagnosis 'Personal history of hodgkin's disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of irradiation,Z98.41,,0.04730334132909775,The diagnosis 'Personal history of irradiation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Personal history of irradiation, presenting hazards to health",A01.00,,0.03606010228395462,"The diagnosis 'Personal history of irradiation, presenting hazards to health' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Personal history of malignant melanoma of skin,Z98.41,,0.052471935749053955,The diagnosis 'Personal history of malignant melanoma of skin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of malignant neoplasm of breast,Z98.41,,0.05291958525776863,The diagnosis 'Personal history of malignant neoplasm of breast' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of malignant neoplasm of bronchus and lung,A01.00,,-0.007398650050163269,The diagnosis 'Personal history of malignant neoplasm of bronchus and lung' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of malignant neoplasm of cervix uteri,Z98.41,,0.02518932707607746,The diagnosis 'Personal history of malignant neoplasm of cervix uteri' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of malignant neoplasm of kidney,A01.00,,0.005196552723646164,The diagnosis 'Personal history of malignant neoplasm of kidney' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of malignant neoplasm of large intestine,A01.00,,-0.0204047542065382,The diagnosis 'Personal history of malignant neoplasm of large intestine' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of malignant neoplasm of other gastrointestinal tract,A01.00,,-0.02239956706762314,The diagnosis 'Personal history of malignant neoplasm of other gastrointestinal tract' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of malignant neoplasm of other parts of uterus,Z98.41,,0.03692266717553139,The diagnosis 'Personal history of malignant neoplasm of other parts of uterus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of malignant neoplasm of prostate,Z98.41,,0.03042364865541458,The diagnosis 'Personal history of malignant neoplasm of prostate' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus",Z98.41,,0.035974469035863876,"The diagnosis 'Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Personal history of malignant neoplasm of testis,Z98.41,,0.042810723185539246,The diagnosis 'Personal history of malignant neoplasm of testis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of malignant neoplasm of thyroid,A01.00,,-0.037291716784238815,The diagnosis 'Personal history of malignant neoplasm of thyroid' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of malignant neoplasm of tongue,A01.00,,0.02675446681678295,The diagnosis 'Personal history of malignant neoplasm of tongue' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of nicotine dependence,Z98.41,,0.03645108640193939,The diagnosis 'Personal history of nicotine dependence' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Personal history of noncompliance with medical treatment, presenting hazards to health",A01.00,,0.04080161824822426,"The diagnosis 'Personal history of noncompliance with medical treatment, presenting hazards to health' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Personal history of other diseases of digestive system,A01.00,,0.003180657746270299,The diagnosis 'Personal history of other diseases of digestive system' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of other diseases of the digestive system,A01.00,,0.006544225849211216,The diagnosis 'Personal history of other diseases of the digestive system' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Personal history of other endocrine, nutritional and metabolic disease",Z98.41,,-0.047496452927589417,"The diagnosis 'Personal history of other endocrine, nutritional and metabolic disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Personal history of other lymphatic and hematopoietic neoplasms,Z98.41,,0.049783967435359955,The diagnosis 'Personal history of other lymphatic and hematopoietic neoplasms' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of other malignant neoplasm of kidney,A01.00,,0.007291986141353846,The diagnosis 'Personal history of other malignant neoplasm of kidney' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus",Z98.41,,0.03277333080768585,"The diagnosis 'Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Personal history of other malignant neoplasm of skin,Z98.41,,0.03885800391435623,The diagnosis 'Personal history of other malignant neoplasm of skin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Personal history of other venous thrombosis and embolism,A01.00,,0.03593866527080536,The diagnosis 'Personal history of other venous thrombosis and embolism' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of pathologic fracture,A01.00,,0.0332307368516922,The diagnosis 'Personal history of pathologic fracture' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of peptic ulcer disease,A01.00,,0.029549740254878998,The diagnosis 'Personal history of peptic ulcer disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of pneumonia (recurrent),A01.00,,0.04486048221588135,The diagnosis 'Personal history of pneumonia (recurrent)' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of poliomyelitis,A01.00,,0.051775991916656494,The diagnosis 'Personal history of poliomyelitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of pulmonary embolism,A01.00,,-0.0016772621311247349,The diagnosis 'Personal history of pulmonary embolism' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of self-harm,A01.00,,0.07005441188812256,The diagnosis 'Personal history of self-harm' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of sudden cardiac arrest,A01.00,,0.04609227180480957,The diagnosis 'Personal history of sudden cardiac arrest' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Personal history of surgery to heart and great vessels, presenting hazards to health",A01.00,,0.04863102734088898,"The diagnosis 'Personal history of surgery to heart and great vessels, presenting hazards to health' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Personal history of tobacco use,Z98.41,,0.06001436710357666,The diagnosis 'Personal history of tobacco use' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",Z98.41,,-0.012028517201542854,"The diagnosis 'Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Personal history of traumatic brain injury,A01.00,,0.015275848098099232,The diagnosis 'Personal history of traumatic brain injury' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of traumatic fracture,A01.00,,0.04563519358634949,The diagnosis 'Personal history of traumatic fracture' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Personal history of urinary calculi,Z98.41,,0.012185197323560715,The diagnosis 'Personal history of urinary calculi' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Personal history, urinary (tract) infection",A00.9,,0.08762891590595245,"The diagnosis 'Personal history, urinary (tract) infection' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
Phlebitis and thrombophlebitis of superficial veins of upper extremities,A01.00,,0.021276965737342834,The diagnosis 'Phlebitis and thrombophlebitis of superficial veins of upper extremities' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Physical restraint status,A01.00,,0.06891927123069763,The diagnosis 'Physical restraint status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Physical restraints status,A01.00,,0.03536404296755791,The diagnosis 'Physical restraints status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pilonidal cyst without abscess,Z98.41,,0.062495388090610504,The diagnosis 'Pilonidal cyst without abscess' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Pleural effusion in other conditions classified elsewhere,A01.00,,-0.047525860369205475,The diagnosis 'Pleural effusion in other conditions classified elsewhere' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Pleural effusion, not elsewhere classified",A01.00,,-0.07245305925607681,"The diagnosis 'Pleural effusion, not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Pleurisy without mention of effusion or current tuberculosis,A01.00,,0.0012663407251238823,The diagnosis 'Pleurisy without mention of effusion or current tuberculosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pneumocystosis,A01.00,,0.005818273406475782,The diagnosis 'Pneumocystosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pneumonia due to Klebsiella pneumoniae,A01.00,,0.035793401300907135,The diagnosis 'Pneumonia due to Klebsiella pneumoniae' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pneumonia due to Methicillin susceptible Staphylococcus aureus,A01.00,,0.00485859252512455,The diagnosis 'Pneumonia due to Methicillin susceptible Staphylococcus aureus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pneumonia in aspergillosis,A01.00,,0.003282771911472082,The diagnosis 'Pneumonia in aspergillosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Pneumonia, organism unspecified",A01.00,,0.05158870294690132,"The diagnosis 'Pneumonia, organism unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Pneumonia, unspecified organism",A01.00,,0.06129013001918793,"The diagnosis 'Pneumonia, unspecified organism' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Pneumonitis due to inhalation of food and vomit,A01.00,,0.03709554299712181,The diagnosis 'Pneumonitis due to inhalation of food and vomit' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Pneumonitis due to inhalation of food or vomitus,A01.00,,0.04101670905947685,The diagnosis 'Pneumonitis due to inhalation of food or vomitus' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional), initial encounter",Z98.41,,0.03909344971179962,"The diagnosis 'Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional), initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Poisoning by insulins and antidiabetic agents,Z98.41,,0.008463297039270401,The diagnosis 'Poisoning by insulins and antidiabetic agents' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Polyneuropathy in diabetes,Z98.41,,-0.019752036780118942,The diagnosis 'Polyneuropathy in diabetes' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Polyneuropathy, unspecified",Z98.41,,0.0409269817173481,"The diagnosis 'Polyneuropathy, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Polyp of colon,Z98.41,,0.13844290375709534,The diagnosis 'Polyp of colon' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Portal hypertension,A01.00,,0.06870006769895554,The diagnosis 'Portal hypertension' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Portal vein thrombosis,A01.00,,0.04527387395501137,The diagnosis 'Portal vein thrombosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Post-traumatic stress disorder, unspecified",A00.9,,0.08881670981645584,"The diagnosis 'Post-traumatic stress disorder, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.1 - ; A00.0 - ,True
Postinflammatory pulmonary fibrosis,A01.00,,0.01815750263631344,The diagnosis 'Postinflammatory pulmonary fibrosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Postmenopausal atrophic vaginitis,A01.00,,0.127599835395813,The diagnosis 'Postmenopausal atrophic vaginitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Postoperative shock, other",A01.00,,0.1078609749674797,"The diagnosis 'Postoperative shock, other' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Postprocedural fever,A01.00,,0.08187262713909149,The diagnosis 'Postprocedural fever' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Postprocedural heart failure following other surgery,A01.00,,-0.028543226420879364,The diagnosis 'Postprocedural heart failure following other surgery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,Z98.41,,0.0689697414636612,The diagnosis 'Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure,A01.00,,0.05870937928557396,The diagnosis 'Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Postprocedural hemorrhage of a musculoskeletal structure following other procedure,A01.00,,0.055363938212394714,The diagnosis 'Postprocedural hemorrhage of a musculoskeletal structure following other procedure' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Postprocedural hypotension,A00.9,,0.06805688887834549,The diagnosis 'Postprocedural hypotension' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Postprocedural pneumothorax,A01.00,,0.04108232259750366,The diagnosis 'Postprocedural pneumothorax' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Posttraumatic stress disorder,A01.00,,0.10726381093263626,The diagnosis 'Posttraumatic stress disorder' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Presence of aortocoronary bypass graft,A01.00,,0.08041214942932129,The diagnosis 'Presence of aortocoronary bypass graft' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Presence of automatic (implantable) cardiac defibrillator,Z98.41,,0.010149489156901836,The diagnosis 'Presence of automatic (implantable) cardiac defibrillator' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Presence of cardiac pacemaker,A00.9,,0.0363229364156723,The diagnosis 'Presence of cardiac pacemaker' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Presence of coronary angioplasty implant and graft,A01.00,,0.07106281071901321,The diagnosis 'Presence of coronary angioplasty implant and graft' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Presence of intraocular lens,A01.00,,0.006816700100898743,The diagnosis 'Presence of intraocular lens' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Presence of prosthetic heart valve,Z98.41,,-0.018335483968257904,The diagnosis 'Presence of prosthetic heart valve' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Presence of right artificial knee joint,A01.00,,-0.009749877266585827,The diagnosis 'Presence of right artificial knee joint' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Presence of xenogenic heart valve,A01.00,,0.029873201623558998,The diagnosis 'Presence of xenogenic heart valve' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Pressure ulcer of other site, unspecified stage",A01.00,,-0.028653346002101898,"The diagnosis 'Pressure ulcer of other site, unspecified stage' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Pressure ulcer, lower back",A01.00,,0.027162298560142517,"The diagnosis 'Pressure ulcer, lower back' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Pressure ulcer, stage II",A01.00,,-0.005546314176172018,"The diagnosis 'Pressure ulcer, stage II' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Pressure ulcer, stage III",A01.00,,0.01858227699995041,"The diagnosis 'Pressure ulcer, stage III' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Primary osteoarthritis, left ankle and foot",A01.00,,0.009083960205316544,"The diagnosis 'Primary osteoarthritis, left ankle and foot' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Primary osteoarthritis, left shoulder",A01.00,,0.014364365488290787,"The diagnosis 'Primary osteoarthritis, left shoulder' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Primary osteoarthritis, right shoulder",A01.00,,0.01738201640546322,"The diagnosis 'Primary osteoarthritis, right shoulder' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
